h3_cell,grid_lat,grid_lon,year,actual_hrs,actual_risk_label,predicted_risk_label,predicted_prob_High,predicted_prob_Low,predicted_prob_Medium,eq_count_3yr,seismic_energy_3yr,mean_depth_3yr
854a6a3bfffffff,26,140,2017,8.301029995663981,Low,Low,0.11457054573145847,0.5562911129374908,0.32913834133105085,2,14038567.4742841,200.31
854a6a3bfffffff,26,140,2018,9.30102999566398,Medium,Medium,0.13382273879903017,0.18407845224541777,0.6820988089555522,2,12220184.543019652,216.855
854a6a3bfffffff,26,140,2019,0.0,Low,Medium,0.13964560029387113,0.18022577606170548,0.6801286236444234,3,17843597.79492314,147.90333333333334
854a6a3bfffffff,26,140,2020,0.0,Low,Medium,0.17863313288591778,0.33313641189443877,0.48823045521964326,2,6623413.251903491,213.815
854a6a3bfffffff,26,140,2021,0.0,Low,Medium,0.04065200767380448,0.4124450152506408,0.5469029770755547,1,5623413.251903491,10.0
854a6a3bfffffff,26,140,2022,0.0,Low,Low,0.26942396356480663,0.5207256969699149,0.2098503394652785,0,0.0,0.0
854a6a3bfffffff,26,140,2023,0.0,Low,Low,0.26942396356480663,0.5207256969699149,0.2098503394652785,0,0.0,0.0
854a6a3bfffffff,26,140,2024,9.701029995663982,Medium,Low,0.26942396356480663,0.5207256969699149,0.2098503394652785,0,0.0,0.0
854a6b73fffffff,26,141,2002,10.077121254719662,Medium,Medium,0.16420157271475677,0.08196539921805682,0.7538330280671862,8,27254373.63580597,150.9375
854a6b73fffffff,26,141,2003,9.845098040014255,Medium,Medium,0.1648447404258444,0.0930508094553049,0.7421044501188505,8,37479892.30851358,115.125
854a6b73fffffff,26,141,2004,11.178151250383644,High,High,0.6574996186880778,0.029129961644909018,0.313370419667013,11,46923642.96463147,173.24545454545452
854a6b73fffffff,26,141,2005,9.402059991327963,Medium,Medium,0.32294410590282596,0.0318499735943786,0.6452059205027953,13,121239561.95567054,181.5
854a6b73fffffff,26,141,2006,9.30102999566398,Medium,Medium,0.36950528438457053,0.024994130646947225,0.6055005849684826,14,112940235.89750664,195.3642857142857
854a6b73fffffff,26,141,2007,9.978151250383643,Medium,Medium,0.2695972122927051,0.09036102687974099,0.6400417608275538,9,100501222.92641988,172.7666666666667
854a6b73fffffff,26,141,2008,11.298970004336018,High,High,0.674848270236502,0.04638635989170215,0.278765369871796,9,33965897.50835307,158.60000000000002
854a6b73fffffff,26,141,2009,11.6,High,High,0.6703263868290807,0.03765201302636092,0.29202160014455864,10,142192630.24860033,110.21
854a6b73fffffff,26,141,2010,9.30102999566398,Medium,Medium,0.3658056285394421,0.006993457644401404,0.6272009138161565,18,341376607.0999249,110.56666666666666
854a6b73fffffff,26,141,2011,9.90102999566398,Medium,Medium,0.4152683416819999,0.03912133197099489,0.5456103263470053,14,327619679.50644875,100.5
854a6b73fffffff,26,141,2012,9.30102999566398,Medium,Medium,0.31680061947990973,0.0633013768246743,0.6198980036954161,11,226279735.27974272,100.2909090909091
854a6b73fffffff,26,141,2013,10.202059991327962,Medium,Medium,0.1517113092245094,0.12238229847151783,0.7259063923039729,3,27095758.42841809,76.86666666666667
854a6b73fffffff,26,141,2014,10.378151250383644,Medium,Medium,0.1950811426915636,0.06449329868001258,0.7404255586284237,5,52522533.349680334,91.464
854a6b73fffffff,26,141,2015,10.602059991327964,Medium,Medium,0.2941506630778067,0.03413201029487482,0.6717173266273183,9,80127796.42311074,98.20222222222225
854a6b73fffffff,26,141,2016,10.245098040014256,Medium,Medium,0.28705794703449555,0.04778276770690261,0.6651592852586019,11,112103493.7933949,134.29636363636362
854a6b73fffffff,26,141,2017,11.045098040014256,High,High,0.735010340655034,0.017788975346852615,0.24720068399811318,14,110329224.228258,135.17714285714283
854a6b73fffffff,26,141,2018,11.303089986991944,High,High,0.7220759676277617,0.029336357198876187,0.24858767517336172,15,145588838.93344736,196.6946666666667
854a6b73fffffff,26,141,2019,9.49897000433602,Medium,Medium,0.48625600251859735,0.00980732787686414,0.5039366696045383,19,199571774.7261721,199.1768421052632
854a6b73fffffff,26,141,2020,8.701029995663982,Medium,Medium,0.47708375394700964,0.032188710972455147,0.49072753508053546,17,179920385.84418818,240.52705882352944
854a6b73fffffff,26,141,2021,0.0,Low,Medium,0.3886786432872335,0.0387098915570449,0.5726114651557217,12,103201838.4559262,254.65916666666664
854a6b73fffffff,26,141,2022,9.477121254719664,Medium,Medium,0.2453649698542609,0.2024740785664953,0.5521609515792437,5,11619792.041013816,315.606
854a6b73fffffff,26,141,2023,10.298970004336018,Medium,Medium,0.22125660031330363,0.1549964379263823,0.6237469617603141,3,8618675.566872373,320.15433333333334
854a6b73fffffff,26,141,2024,10.178151250383644,Medium,Medium,0.30817975874129355,0.09239769659015991,0.5994225446685466,6,40491984.35633368,237.9573333333333
854ec9bbfffffff,26,142,2002,10.202059991327962,Medium,Medium,0.17267820497903802,0.11261925679294534,0.7147025382280167,4,29894191.556876265,33.0
854ec9bbfffffff,26,142,2003,9.898970004336018,Medium,Medium,0.20503602741101867,0.06051736254890968,0.7344466100400718,7,62586721.276410505,36.34285714285714
854ec9bbfffffff,26,142,2004,10.277121254719663,Medium,Medium,0.29347411443851606,0.043974227192535104,0.6625516583689486,8,56615045.2105461,45.2875
854ec9bbfffffff,26,142,2005,9.402059991327963,Medium,Medium,0.2878426358357455,0.04591804554029921,0.6662393186239552,9,80408101.98287122,50.93333333333333
