grid_lat,grid_lon,year,eq_count_3yr,eq_count_1yr,mean_mag_3yr,max_mag_3yr,mean_depth_3yr,seismic_energy_3yr,seismic_energy_1yr,freq_trend,mag_trend,target_count,target_max_mag,target_energy,target_hrs,risk_label
29,128,2013,6,3,4.416666666666667,4.9,122.84999999999998,43062544.72249643,16856950.40554855,1.875,0.0333333333333341,2,4.3,5636765.862528899,9.077121254719662,Medium
29,128,2014,6,2,4.466666666666666,4.9,129.52333333333334,44880927.65376087,5636765.862528899,0.9523809523809524,-0.2500000000000009,0,0.0,0.0,0.0,Low
29,128,2015,5,0,4.38,4.7,128.048,22493716.268077448,0.0,0.0,-0.3799999999999999,4,4.7,19191780.878492396,10.098970004336019,Medium
29,128,2016,6,4,4.3500000000000005,4.7,190.44833333333332,24828546.74102129,19191780.878492396,3.636363636363636,0.0750000000000001,6,5.7,373036549.7578869,12.245098040014257,High
29,128,2017,10,6,4.48,5.7,172.977,392228330.6363793,373036549.7578869,2.857142857142857,0.1749999999999998,0,0.0,0.0,0.0,Low
29,128,2018,10,0,4.48,5.7,172.977,392228330.6363793,0.0,0.0,-0.4800000000000004,1,6.1,1412537544.6227496,12.50102999566398,High
29,128,2019,7,1,4.771428571428572,6.1,153.48857142857145,1785574094.3806365,1412537544.6227496,0.3225806451612903,1.5499999999999998,1,6.6,7943282347.242789,13.50102999566398,High
29,128,2020,2,1,6.35,6.6,208.0,9355819891.86554,7943282347.242789,1.6666666666666667,0.5,0,0.0,0.0,0.0,Low
29,128,2021,2,0,6.35,6.6,208.0,9355819891.86554,0.0,0.0,-2.35,3,4.4,10780526.342334405,9.402059991327963,Medium
29,128,2022,4,3,4.925000000000001,6.6,93.775,7954062873.585124,10780526.342334405,5.0,-2.2333333333333334,0,0.0,0.0,0.0,Low
29,128,2023,3,0,4.366666666666666,4.4,70.03333333333333,10780526.342334405,0.0,0.0,-0.3666666666666662,3,4.8,24792214.271853916,10.202059991327962,Medium
29,128,2024,6,3,4.416666666666667,4.8,94.56600000000002,35572740.61418831,24792214.271853916,1.875,0.0999999999999996,1,4.1,1412537.5446227526,8.50102999566398,Medium
29,129,2002,8,3,4.574999999999999,5.8,100.875,695597177.3138853,6226182.790856085,1.1538461538461535,-0.5999999999999996,4,5.1,55105417.71323308,10.898970004336018,High
29,129,2003,10,4,4.49,5.5,87.76999999999998,248515361.39984697,55105417.71323308,1.2903225806451613,0.0583333333333317,4,4.8,19261469.46923386,10.298970004336018,Medium
29,129,2004,11,4,4.327272727272727,5.1,77.18181818181819,80593069.97332302,19261469.46923386,1.1111111111111112,-0.1607142857142856,2,4.8,19830003.630146086,10.077121254719662,Medium
29,129,2005,10,2,4.42,5.1,51.33,94196890.81261304,19830003.630146086,0.4878048780487805,0.2249999999999996,10,5.0,86624636.75456253,11.041392685158225,High
29,129,2006,16,10,4.41875,5.0,56.1875,125716109.85394248,86624636.75456253,3.225806451612903,0.1099999999999994,3,4.9,30829007.568851363,10.402059991327963,Medium
29,129,2007,15,3,4.5,5.0,58.60666666666667,137283647.95356,30829007.568851363,0.4918032786885246,0.083333333333333,2,4.3,4230920.475887202,9.077121254719662,Medium
29,129,2008,15,2,4.446666666666667,5.0,59.10666666666666,121684564.7993011,4230920.475887202,0.303030303030303,-0.2846153846153854,0,0.0,0.0,0.0,Low
29,129,2009,5,0,4.42,4.9,68.96,35059928.04473857,0.0,0.0,-0.4199999999999999,12,5.2,160062000.4850136,11.513943352306837,High
29,129,2010,14,12,4.507142857142857,5.2,36.97857142857142,164292920.9609008,160062000.4850136,10.909090909090908,0.3583333333333343,3,5.2,101331877.75831395,11.002059991327963,High
29,129,2011,15,3,4.640000000000001,5.2,40.04,261393878.2433276,101331877.75831395,0.4918032786885246,0.4083333333333332,5,4.7,31337669.713392463,10.178151250383644,Medium
29,129,2012,20,5,4.595000000000001,5.2,37.095000000000006,292731547.95672005,31337669.713392463,0.6578947368421053,-0.1800000000000015,2,5.4,157515317.78110093,11.277121254719663,High
29,129,2013,10,2,4.76,5.4,43.85,290184865.2528073,157515317.78110093,0.4878048780487805,0.5499999999999998,1,4.3,2818382.9312644494,8.901029995663981,Medium
29,129,2014,8,1,4.625,5.4,46.6375,191671370.42575783,2818382.9312644494,0.2777777777777778,-0.371428571428571,1,4.5,5623413.251903491,9.301029995663981,Medium
29,129,2015,4,1,4.800000000000001,5.4,60.45,165957113.96426886,5623413.251903491,0.625,-0.4000000000000003,6,4.8,52560166.11955484,10.445098040014257,Medium
29,129,2016,8,6,4.55,4.8,46.21125,61001962.30272277,52560166.11955484,5.454545454545454,0.1999999999999984,12,4.7,61382600.614896245,10.513943352306837,Medium
29,129,2017,19,12,4.473684210526316,4.8,41.455263157894734,119566179.98635456,61382600.614896245,3.333333333333333,-0.1773809523809522,2,4.4,7962143.411069955,9.277121254719663,Medium
29,129,2018,20,2,4.465,4.8,49.9405,121904910.14552104,7962143.411069955,0.2197802197802197,-0.0722222222222219,0,0.0,0.0,0.0,Low
29,129,2019,14,0,4.4071428571428575,4.7,55.60857142857143,69344744.0259662,0.0,0.0,-0.4071428571428575,6,4.9,66326567.60902465,10.645098040014258,Medium
29,129,2020,8,6,4.5875,4.9,66.96374999999999,74288711.0200946,66326567.60902465,5.454545454545454,0.2499999999999991,27,6.0,1321463270.729874,13.44715803134222,High
29,129,2021,33,27,4.63939393939394,6.0,17.62272727272727,1387789838.338899,1321463270.729874,8.709677419354838,-0.0129629629629626,2,4.9,25205594.316947877,10.277121254719663,Medium
