grid_lat,grid_lon,avg_annual_count,max_magnitude,avg_magnitude,avg_depth,avg_energy,cluster
37,130,0.043478260869565216,5.3,4.1695652173913045,3.808695652173913,3875004.078842365,0
37,134,0.08695652173913043,4.5,4.091304347826087,104.16130434782609,331246.76377705974,0
37,135,1.826086956521739,6.8,4.332986216681869,368.89627012263094,725209751.2686535,2
37,136,1.3478260869565217,6.1,4.153154960981048,45.271058671763015,69678197.72178471,0
37,137,6.173913043478261,7.5,4.470993788819875,98.45143420031056,8423459683.886122,1
37,138,2.608695652173913,6.2,4.457424863783559,68.40016168348559,210390388.83172512,1
37,139,6.173913043478261,6.6,4.457280667845218,54.59907422121975,750927749.4522505,1
37,140,6.869565217391305,6.6,4.484001864149957,68.52487035712528,507421895.244726,1
37,141,43.17391304347826,6.9,4.505206273675476,45.12301413294888,2182284429.29184,1
37,142,42.08695652173913,6.5,4.515319860821613,33.02425528933925,1847940874.4855676,1
37,143,16.130434782608695,6.4,4.548104838275799,21.78423959155794,560587162.3389281,1
37,144,19.0,6.4,4.332073129779519,23.517804453141178,594382766.0415264,1
37,145,4.173913043478261,7.1,4.33177283577222,12.640667899953504,2187986542.7788973,1
37,146,0.043478260869565216,4.0,4.0,4.343478260869565,43478.260869565216,0
38,124,0.043478260869565216,4.7,4.091304347826087,1.3043478260869565,487834.1105660718,0
38,125,0.043478260869565216,4.8,4.104347826086957,1.3043478260869565,689083.9967222221,0
38,128,0.043478260869565216,4.7,4.091304347826087,1.3043478260869565,487834.1105660718,0
38,130,0.043478260869565216,4.4,4.052173913043478,1.3043478260869565,173090.07415369467,0
38,133,0.13043478260869565,5.3,4.3130434782608695,173.4886956521739,4935111.631044639,2
38,134,0.8695652173913043,4.9,4.296014492753623,422.2044927536232,4258777.85593348,2
38,135,0.782608695652174,5.3,4.226376811594203,332.30037681159416,7529284.55846415,2
38,136,0.5217391304347826,4.5,4.178985507246377,240.84852898550724,1457360.7134572237,2
38,137,1.391304347826087,6.2,4.1022941294329796,2.5274667902224004,118335468.95526652,0
38,138,2.608695652173913,6.6,4.584387351778656,27.09967951251647,415461644.15315944,1
38,139,0.6956521739130435,4.7,4.291739130434783,86.53952173913044,3067039.952975988,0
38,140,1.608695652173913,5.1,4.318113589309242,79.91181916996047,10140700.269016184,0
38,141,5.434782608695652,6.3,4.621820832950167,56.685912429696394,543720791.369868,1
38,142,41.34782608695652,9.1,4.590306911203465,47.99611014948359,1958462238600.8022,3
38,143,19.565217391304348,7.3,4.554218007877303,26.494996294742208,8028985307.901645,1
38,144,29.782608695652176,7.3,4.4183022747504275,21.496722028406968,4842124660.279342,1
